sku,year_week,weekly_quantity,category,description
10026,2024-W03,4618.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (4)
10026,2024-W04,1240.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (4)
10026,2024-W05,100.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (4)
10026,2025-W01,8038.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (4)
10026,2025-W02,9014.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (4)
10026,2025-W03,38447.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (4)
10026,2025-W04,36695.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (4)
10026,2025-W05,22467.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (4)
10026,2025-W06,6098.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (4)
10026,2025-W07,2789.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (4)
10026,2025-W08,6228.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (4)
10026,2025-W09,2944.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (4)
10026,2025-W10,6066.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (4)
10026,2025-W11,6837.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (4)
