customer_id,year_week,weekly_quantity,customer_name
HB_CUT001,2025-W17,4256.0,"Cut Price C,n,carry"
HB_CUT001,2025-W18,1582.0,"Cut Price C,n,carry"
HB_CUT001,2025-W19,5664.0,"Cut Price C,n,carry"
HB_CUT001,2025-W21,8705.0,"Cut Price C,n,carry"
HB_CUT001,2025-W22,324.0,"Cut Price C,n,carry"
HB_CUT001,2025-W23,1639.0,"Cut Price C,n,carry"
HB_CUT001,2025-W24,1301.0,"Cut Price C,n,carry"
HB_CUT001,2025-W25,2333.0,"Cut Price C,n,carry"
HB_CUT001,2025-W26,3058.0,"Cut Price C,n,carry"
HB_DAN002,2024-W04,1200.0,DANKAAR WINKEL SHOP
HB_DAN002,2025-W02,400.0,DANKAAR WINKEL SHOP
HB_DAN002,2025-W03,3310.0,DANKAAR WINKEL SHOP
HB_DAN002,2025-W05,1200.0,DANKAAR WINKEL SHOP
HB_DAN002,2025-W10,865.0,DANKAAR WINKEL SHOP
HB_DAN002,2025-W11,1627.0,DANKAAR WINKEL SHOP
HB_DAN002,2025-W12,2673.0,DANKAAR WINKEL SHOP
HB_DAN002,2025-W13,1600.0,DANKAAR WINKEL SHOP
HB_DAN002,2025-W14,1256.0,DANKAAR WINKEL SHOP
HB_DAN002,2025-W15,3298.0,DANKAAR WINKEL SHOP
HB_DAN002,2025-W17,894.0,DANKAAR WINKEL SHOP
HB_DAN002,2025-W20,336.0,DANKAAR WINKEL SHOP
HB_DAN002,2025-W21,1432.0,DANKAAR WINKEL SHOP
HB_DAN002,2025-W22,3112.0,DANKAAR WINKEL SHOP
HB_DAN002,2025-W23,1063.0,DANKAAR WINKEL SHOP
HB_DAN002,2025-W24,1989.0,DANKAAR WINKEL SHOP
HB_DAN002,2025-W25,797.0,DANKAAR WINKEL SHOP
HB_DFS001,2025-W11,939.0,Cash & Carry DF Scott
HB_DFS001,2025-W13,2049.0,Cash & Carry DF Scott
HB_DFS001,2025-W23,404.0,Cash & Carry DF Scott
HB_DFS001,2025-W24,1300.0,Cash & Carry DF Scott
HB_DFS001,2025-W25,136.0,Cash & Carry DF Scott
HB_DFS001,2025-W26,1704.0,Cash & Carry DF Scott
HB_ECO001,2025-W11,1095.0,Econofoods
HB_ECO001,2025-W12,1546.0,Econofoods
HB_ECO001,2025-W13,2165.0,Econofoods
HB_ECO001,2025-W15,2845.0,Econofoods
HB_ECO001,2025-W16,249.0,Econofoods
HB_ECO001,2025-W18,590.0,Econofoods
HB_ECO001,2025-W19,1617.0,Econofoods
HB_ECO001,2025-W20,1571.0,Econofoods
HB_ECO001,2025-W22,899.0,Econofoods
HB_ECO001,2025-W24,2163.0,Econofoods
HB_ECO001,2025-W25,2631.0,Econofoods
HB_ECO001,2025-W26,3169.0,Econofoods
HB_ETH002,2024-W03,1697.0,ETHIOPIAN BROTHERS SHOP
HB_ETH002,2024-W05,1250.0,ETHIOPIAN BROTHERS SHOP
HB_ETH002,2025-W04,1697.0,ETHIOPIAN BROTHERS SHOP
HB_ETH002,2025-W05,1250.0,ETHIOPIAN BROTHERS SHOP
HB_FOU001,2025-W12,1914.0,Fourstar Supermatket
HB_FOU001,2025-W15,910.0,Fourstar Supermatket
HB_FOU001,2025-W16,1522.0,Fourstar Supermatket
HB_FOU001,2025-W17,1879.0,Fourstar Supermatket
HB_FOU001,2025-W18,1229.0,Fourstar Supermatket
HB_FOU001,2025-W20,1879.0,Fourstar Supermatket
HB_FOU001,2025-W21,7053.0,Fourstar Supermatket
HB_FOU001,2025-W22,1219.0,Fourstar Supermatket
HB_FOU001,2025-W24,1300.0,Fourstar Supermatket
HB_FOU001,2025-W25,1397.0,Fourstar Supermatket
HB_FOU001,2025-W26,1222.0,Fourstar Supermatket
HB_FOU002,2024-W03,330.0,FOURWAYS SHOP
HB_FOU002,2024-W04,1003.0,FOURWAYS SHOP
HB_FOU002,2025-W02,2512.0,FOURWAYS SHOP
HB_FOU002,2025-W03,330.0,FOURWAYS SHOP
HB_FOU002,2025-W05,1003.0,FOURWAYS SHOP
HB_FOU002,2025-W11,1337.0,FOURWAYS SHOP
HB_FOU002,2025-W12,1992.0,FOURWAYS SHOP
HB_FOU002,2025-W13,978.0,FOURWAYS SHOP
HB_FOU002,2025-W14,475.0,FOURWAYS SHOP
HB_FOU002,2025-W15,234.0,FOURWAYS SHOP
HB_FOU002,2025-W16,1681.0,FOURWAYS SHOP
HB_FOU002,2025-W17,1647.0,FOURWAYS SHOP
HB_FOU002,2025-W18,1366.0,FOURWAYS SHOP
HB_FOU002,2025-W20,542.0,FOURWAYS SHOP
HB_FOU002,2025-W21,516.0,FOURWAYS SHOP
HB_FOU002,2025-W22,2728.0,FOURWAYS SHOP
HB_FOU002,2025-W23,579.0,FOURWAYS SHOP
HB_FOU002,2025-W24,263.0,FOURWAYS SHOP
HB_FOU002,2025-W25,1562.0,FOURWAYS SHOP
HB_FOU002,2025-W26,1287.0,FOURWAYS SHOP
HB_FRI004,2024-W03,1200.0,Friendly Shop Super Market
HB_FRI004,2024-W04,1160.0,Friendly Shop Super Market
HB_FRI004,2025-W02,1680.0,Friendly Shop Super Market
HB_FRI004,2025-W04,1200.0,Friendly Shop Super Market
HB_FRI004,2025-W05,1160.0,Friendly Shop Super Market
HB_FRI004,2025-W09,3402.0,Friendly Shop Super Market
HB_FRI004,2025-W10,993.0,Friendly Shop Super Market
HB_FRI004,2025-W11,199.0,Friendly Shop Super Market
HB_FRI004,2025-W12,478.0,Friendly Shop Super Market
HB_FRI004,2025-W13,770.0,Friendly Shop Super Market
HB_FRI004,2025-W14,2537.0,Friendly Shop Super Market
HB_FRI004,2025-W15,1818.0,Friendly Shop Super Market
HB_FRI004,2025-W16,2637.0,Friendly Shop Super Market
HB_FRI004,2025-W17,2160.0,Friendly Shop Super Market
HB_FRI004,2025-W18,3394.0,Friendly Shop Super Market
HB_FRI004,2025-W19,876.0,Friendly Shop Super Market
HB_FRI004,2025-W21,2686.0,Friendly Shop Super Market
HB_FRI004,2025-W22,1847.0,Friendly Shop Super Market
HB_FRI004,2025-W23,960.0,Friendly Shop Super Market
HB_FRI004,2025-W24,3692.0,Friendly Shop Super Market
HB_FRI004,2025-W25,1071.0,Friendly Shop Super Market
HB_FRI004,2025-W26,526.0,Friendly Shop Super Market
HB_GOL001,2024-W05,1343.0,Golden Star Supermarket
HB_GOL001,2025-W02,2918.0,Golden Star Supermarket
HB_GOL001,2025-W03,9430.0,Golden Star Supermarket
HB_GOL001,2025-W05,1343.0,Golden Star Supermarket
HB_GOL001,2025-W10,994.0,Golden Star Supermarket
HB_GOL001,2025-W11,826.0,Golden Star Supermarket
HB_GOL001,2025-W13,4666.0,Golden Star Supermarket
HB_GOL001,2025-W14,939.0,Golden Star Supermarket
HB_GOL001,2025-W17,1118.0,Golden Star Supermarket
HB_GOL001,2025-W18,1512.0,Golden Star Supermarket
HB_GOL001,2025-W19,321.0,Golden Star Supermarket
