category_l1,date,period,quantity,revenue,num_orders,num_customers
Baby and Toddler,2025-12-05,H2,29990,5365865.53,52,50
Baby and Toddler,2025-12-06,H2,14699,2444718.23,29,29
Baby and Toddler,2025-12-08,H2,26140,4963161.48,55,50
Baby and Toddler,2025-12-09,H2,15773,3615845.08,60,58
Baby and Toddler,2025-12-10,H2,22764,3921257.39,43,43
Baby and Toddler,2025-12-11,H2,23598,5460238.47,57,55
Baby and Toddler,2025-12-12,H2,24257,4190329.42,46,45
Baby and Toddler,2025-12-13,H2,8430,1510535.56,36,36
Baby and Toddler,2025-12-15,H2,30037,5458936.92,66,60
Baby and Toddler,2025-12-16,H2,29597,4861283.24,55,55
Baby and Toddler,2025-12-17,H2,23764,4206785.08,58,58
Baby and Toddler,2025-12-18,H2,34276,6883020.33,68,64
Baby and Toddler,2025-12-19,H2,36146,6229092.3,90,80
Baby and Toddler,2025-12-20,H2,14662,2757125.01,64,64
Baby and Toddler,2025-12-22,H2,16356,2932183.5,29,29
Baby and Toddler,2025-12-23,H2,4,12150.0,1,1
Beverages,2025-01-13,H1,14,3330.0,3,3
Beverages,2025-01-22,H1,136,21624.0,1,1
Beverages,2025-01-25,H1,2000,324000.0,1,1
Beverages,2025-01-27,H1,2,1120.0,1,1
Beverages,2025-02-04,H1,950,154850.0,11,11
Beverages,2025-02-05,H1,1236,201508.0,4,4
Beverages,2025-02-06,H1,2363,385452.5,11,11
Beverages,2025-02-07,H1,1870,304834.0,6,6
Beverages,2025-02-08,H1,756,123228.0,4,4
Beverages,2025-02-10,H1,424,69112.0,1,1
Beverages,2025-02-11,H1,170,27710.0,3,3
Beverages,2025-02-12,H1,2494,407657.5,9,9
Beverages,2025-02-13,H1,1333,217752.5,7,7
Beverages,2025-02-14,H1,3978,648414.0,10,10
Beverages,2025-02-15,H1,708,115422.0,4,4
Beverages,2025-02-17,H1,247,40261.0,3,3
Beverages,2025-02-18,H1,1259,205940.0,8,8
Beverages,2025-02-19,H1,3504,570655.0,13,13
Beverages,2025-02-20,H1,2146,349248.0,10,10
Beverages,2025-02-21,H1,978,159414.0,2,2
Beverages,2025-02-22,H1,353,57539.0,3,3
Beverages,2025-02-24,H1,25,4100.0,1,1
Beverages,2025-02-26,H1,637,103831.0,1,1
Beverages,2025-02-27,H1,515,84944.0,2,2
Beverages,2025-02-28,H1,91,14833.0,2,2
Beverages,2025-03-01,H1,293,49517.0,1,1
Beverages,2025-03-05,H1,279,47151.0,1,1
Beverages,2025-03-06,H1,319,51353.5,3,3
Beverages,2025-03-07,H1,57,4930.5,2,2
Beverages,2025-03-08,H1,283,47827.0,1,1
Beverages,2025-03-10,H1,92,7958.0,1,1
Beverages,2025-03-11,H1,31,2681.5,1,1
Beverages,2025-03-13,H1,13,1124.5,1,1
Beverages,2025-03-15,H1,123,10639.5,1,1
Beverages,2025-03-20,H1,248,41912.0,1,1
Beverages,2025-03-21,H1,292,25258.0,1,1
Beverages,2025-03-22,H1,58,5017.0,1,1
Beverages,2025-03-24,H1,80,6920.0,1,1
Beverages,2025-03-25,H1,78,6747.0,1,1
Beverages,2025-03-27,H1,346,53936.5,2,2
Beverages,2025-03-29,H1,1077,182013.0,2,2
Beverages,2025-03-31,H1,402,64123.0,3,3
Beverages,2025-04-01,H1,5771,975299.0,2,2
Beverages,2025-04-02,H1,181,15882.75,1,1
Beverages,2025-04-03,H1,9350,1580150.0,3,3
Beverages,2025-04-04,H1,4454,752726.0,1,1
Beverages,2025-04-07,H1,1693,275229.5,2,2
Beverages,2025-04-09,H1,1894,320086.0,1,1
Beverages,2025-04-10,H1,26,4134.0,1,1
Beverages,2025-04-12,H1,206,18076.5,2,2
Beverages,2025-04-14,H1,139,12197.25,1,1
Beverages,2025-04-16,H1,115,12941.25,2,2
Beverages,2025-04-17,H1,527,89063.0,1,1
Beverages,2025-04-19,H1,525,70525.0,2,2
Beverages,2025-04-21,H1,1536,134784.0,1,1
Beverages,2025-04-23,H1,716,121004.0,1,1
Beverages,2025-04-24,H1,1190,201110.0,1,1
Beverages,2025-04-28,H1,89,7809.75,1,1
Beverages,2025-04-30,H1,122,10705.5,1,1
Beverages,2025-05-01,H1,2722,468184.41,3,3
Beverages,2025-05-02,H1,3676,632272.73,4,4
Beverages,2025-05-03,H1,4873,838154.72,6,6
Beverages,2025-05-05,H1,2769,473503.82,4,4
Beverages,2025-05-06,H1,1045,179840.0,2,2
