category_l1,year_week,period,quantity,revenue,num_orders,num_customers,date
Home & Garden,2025-W21,H1,203786,53080560.16,537,315,2025-05-19
Home & Garden,2025-W22,H1,109677,35340023.26,390,249,2025-05-26
Home & Garden,2025-W23,H1,85761,30425983.08,200,142,2025-06-02
Home & Garden,2025-W24,H1,233999,68117828.47,574,302,2025-06-09
Home & Garden,2025-W25,H1,197983,59507327.75,428,258,2025-06-16
Home & Garden,2025-W26,H1,257792,63299513.91,573,331,2025-06-23
Home & Garden,2025-W27,H2,156036,44323279.84,307,215,2025-06-30
Home & Garden,2025-W28,H2,199609,50406400.09,464,265,2025-07-07
Home & Garden,2025-W29,H2,132813,33472765.82,281,179,2025-07-14
Home & Garden,2025-W30,H2,154476,39671618.83,370,182,2025-07-21
Home & Garden,2025-W31,H2,166517,45689546.76,532,269,2025-07-28
Home & Garden,2025-W32,H2,174672,52344511.67,565,398,2025-08-04
Home & Garden,2025-W33,H2,332482,68573494.62,841,355,2025-08-11
Home & Garden,2025-W34,H2,215113,45182472.78,685,318,2025-08-18
Home & Garden,2025-W35,H2,233318,46436358.59,763,346,2025-08-25
Home & Garden,2025-W36,H2,215817,55709519.06,593,290,2025-09-01
Home & Garden,2025-W37,H2,180625,57115230.92,543,268,2025-09-08
Home & Garden,2025-W38,H2,160646,53376091.3,440,251,2025-09-15
Home & Garden,2025-W39,H2,159704,53753839.83,363,234,2025-09-22
Home & Garden,2025-W40,H2,165495,52045824.35,600,284,2025-09-29
Home & Garden,2025-W41,H2,135581,41315407.25,785,369,2025-10-06
Home & Garden,2025-W42,H2,81312,26420233.86,454,314,2025-10-13
Home & Garden,2025-W43,H2,156272,52386889.02,689,363,2025-10-20
Home & Garden,2025-W44,H2,230269,74650344.57,605,281,2025-10-27
Home & Garden,2025-W45,H2,267330,45030484.93,702,430,2025-11-03
Home & Garden,2025-W46,H2,281516,40273593.6,608,289,2025-11-10
Home & Garden,2025-W47,H2,1102496,68916155.89,1345,331,2025-11-17
Home & Garden,2025-W48,H2,458779,45350422.58,510,257,2025-11-24
Home & Garden,2025-W49,H2,209730,58862675.25,578,276,2025-12-01
Home & Garden,2025-W50,H2,251140,81761803.32,699,435,2025-12-08
Home & Garden,2025-W51,H2,261229,82997626.92,976,491,2025-12-15
Home & Garden,2025-W52,H2,16810,5783830.0,45,45,2025-12-22
Toiletries,2025-W02,H1,155350,20975177.5,132,113,2025-01-06
Toiletries,2025-W03,H1,223922,27702416.44,156,132,2025-01-13
Toiletries,2025-W04,H1,358012,44991798.94,208,164,2025-01-20
Toiletries,2025-W05,H1,325903,38267592.74,207,168,2025-01-27
Toiletries,2025-W06,H1,157091,15922907.95,153,97,2025-02-03
Toiletries,2025-W07,H1,80756,11485063.18,130,82,2025-02-10
Toiletries,2025-W08,H1,152320,14663808.65,150,99,2025-02-17
Toiletries,2025-W09,H1,70823,9029062.83,82,65,2025-02-24
Toiletries,2025-W10,H1,181161,17105641.1,163,122,2025-03-03
Toiletries,2025-W11,H1,199286,17953870.65,178,136,2025-03-10
Toiletries,2025-W12,H1,198945,19326147.919999998,196,148,2025-03-17
Toiletries,2025-W13,H1,257995,23562419.09,213,153,2025-03-24
Toiletries,2025-W14,H1,536528,56762086.22,363,241,2025-03-31
Toiletries,2025-W15,H1,208355,23157157.83,583,346,2025-04-07
Toiletries,2025-W16,H1,133371,15816657.82,500,318,2025-04-14
Toiletries,2025-W17,H1,258746,29451301.97,466,312,2025-04-21
Toiletries,2025-W18,H1,233932,25483545.06,395,261,2025-04-28
Toiletries,2025-W19,H1,179650,18783208.04,305,200,2025-05-05
Toiletries,2025-W20,H1,173729,19493695.19,455,252,2025-05-12
Toiletries,2025-W21,H1,139505,18204040.34,480,282,2025-05-19
Toiletries,2025-W22,H1,119256,13306431.57,329,219,2025-05-26
Toiletries,2025-W23,H1,91388,15119350.37,220,149,2025-06-02
Toiletries,2025-W24,H1,326401,34180882.32,689,334,2025-06-09
Toiletries,2025-W25,H1,205984,26224104.45,535,288,2025-06-16
Toiletries,2025-W26,H1,392117,44831603.55,630,331,2025-06-23
Toiletries,2025-W27,H2,230333,27028597.33,306,205,2025-06-30
Toiletries,2025-W28,H2,291663,38028591.16,370,233,2025-07-07
Toiletries,2025-W29,H2,169412,21715496.5,239,158,2025-07-14
Toiletries,2025-W30,H2,259816,31373275.09,330,172,2025-07-21
