category_l1,date,period,quantity,revenue,num_orders,num_customers
Food,2025-08-06,H2,7769,2309295.85,29,29
Food,2025-08-07,H2,13787,3746535.4,36,35
Food,2025-08-08,H2,30275,7890808.27,121,117
Food,2025-08-09,H2,35144,9957733.83,146,144
Food,2025-08-11,H2,78181,16440655.85,252,173
Food,2025-08-12,H2,36988,8427468.96,91,78
Food,2025-08-13,H2,32425,6842122.44,93,76
Food,2025-08-14,H2,39967,7081402.95,89,79
Food,2025-08-15,H2,22986,4248877.23,96,81
Food,2025-08-16,H2,28948,5672159.07,79,63
Food,2025-08-18,H2,23256,5164081.23,88,75
Food,2025-08-19,H2,23865,4730606.44,100,87
Food,2025-08-20,H2,25364,4778837.46,97,77
Food,2025-08-21,H2,23884,4566553.88,94,79
Food,2025-08-22,H2,22237,5435942.87,103,90
Food,2025-08-23,H2,23762,3853255.24,84,76
Food,2025-08-25,H2,19229,4199099.39,97,87
Food,2025-08-26,H2,18440,3991735.9,89,79
Food,2025-08-27,H2,22704,5053482.89,102,88
Food,2025-08-28,H2,25085,5096362.15,104,96
