sku,description,category,date,period,quantity,revenue,num_orders,num_customers
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-02-18,H1,6,434.0,2,2
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-02-19,H1,42,3019.0,5,5
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-02-20,H1,4,288.0,2,2
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-02-27,H1,10,726.0,2,2
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-03-04,H1,188,13820.0,2,2
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-03-05,H1,32,2432.0,1,1
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-03-06,H1,27,1912.6,3,3
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-03-07,H1,27,1948.0,4,4
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-03-10,H1,6,432.0,1,1
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-03-11,H1,351,24877.2,3,3
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-03-12,H1,82,5986.0,1,1
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-03-13,H1,26,1894.0,3,3
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-03-15,H1,7,504.0,1,1
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-03-17,H1,33,2352.0,2,2
